
content,netloc,link,title
,www.thairath.co.th,http://www.thairath.co.th/content/765616,พระองค์ภาฯ ทรงคุกเข่าสวมกอด ทูลกระหม่อมหญิงอุบลรัตนฯ
,www.thairath.co.th,http://www.thairath.co.th/search?type=news&sort=desc,"
				"
,www.thairath.co.th,http://www.thairath.co.th/home,
,www.facebook.com,http://www.facebook.com/ThairathFan,
,instagram.com,http://instagram.com/thairath,
,www.twitter.com,http://www.twitter.com/Thairath_News,
,www.thairath.co.th,http://www.thairath.co.th/rss/news,
,,javascript:;,หน้าหลัก
,www.thairath.co.th,http://www.thairath.co.th/royal,ข่าวในพระราชสำนัก
,www.thairath.co.th,http://www.thairath.co.th/pol,การเมือง
,www.thairath.co.th,http://www.thairath.co.th/sport,กีฬา
,www.thairath.co.th,http://www.thairath.co.th/ent,บันเทิง
,www.thairath.co.th,http://www.thairath.co.th/life,ไลฟ์สไตล์
,www.thairath.co.th,http://www.thairath.co.th/eco,เศรษฐกิจ
,www.thairath.co.th,http://www.thairath.co.th/oversea,ต่างประเทศ
,www.thairath.co.th,http://www.thairath.co.th/social,ทั่วไทย
,www.thairath.co.th,http://www.thairath.co.th/column,คอลัมน์
,www.thairath.co.th,http://www.thairath.co.th/multimedia,มัลติมีเดีย
,,javascript:;,ไมโครไซต์
,www.thairath.co.th,http://www.thairath.co.th/newspaper,นสพ.ฉบับวันนี้
,www.thairath.co.th,http://www.thairath.co.th/tv/,ไทยรัฐทีวี
,epl.thairath.co.th,http://epl.thairath.co.th,พรีเมียร์ลีก
,www.thairath.co.th,http://www.thairath.co.th/activity,กิจกรรม
,www.thairath.co.th,http://www.thairath.co.th/info/sms,บริการข่าวไทยรัฐ - App & SMS
,www.thairath.co.th,http://www.thairath.co.th/corporate/generation1,เกี่ยวกับไทยรัฐ
,www.thairath-found.or.th,http://www.thairath-found.or.th,มูลนิธิไทยรัฐ
,www.thairath.co.th,http://www.thairath.co.th/datacenter/,ศูนย์ข้อมูลไทยรัฐ
,www.thairath.co.th,http://www.thairath.co.th/ads/,ติดต่อโฆษณา
,www.thairath.co.th,http://www.thairath.co.th/contact/,Contact Us
,www.thairath.co.th,http://www.thairath.co.th/job/recruit,ร่วมงานกับเรา
,www.thairath.co.th,http://www.thairath.co.th/faq/,FAQ
,www.thairath.co.th,http://www.thairath.co.th/home#collapseOne,"
									          "
